Level	Number	Organization ID	Parent	Revision	Quantity
1	1G001-2DN80	ENG ASSY W/O CLUTCH (D1-9NL42)	587-10A0A-010	0	1.0
1	1G001-2DN80	ENG ASSY W/O CLUTCH (D1-9NL42)	587-10A0A-011	0	1.0
1	1G001-2DN40	ENG ASSY W/O CLUTCH (P1-9NL42)	587-10A0A-020	0	1.0
1	1G001-2DN40	ENG ASSY W/O CLUTCH (P1-9NL42)	587-10A0A-021	0	1.0
1	1G001-2DN50	ENG ASSY W/O CLUTCH (P1-9NL52)	587-10A0A-030	0	1.0
1	1G001-2DN50	ENG ASSY W/O CLUTCH (P1-9NL52)	587-10A0A-031	0	1.0
1	2G371-2BF00	MOD ASSY-ENG CONT	587-10A0B-010	1	1.0
1	1G6A7-7QF00	VAPO ASSY	587-10A0B-010	1	1.0
1	1G007-2DN03	PART KIT-ENG	587-10A0B-010	1	0.0
1	99330-FW81A	LBL,WARNING DRAIN VALVE	587-10A0B-015	0	1.0
1	16300-FW80A	SUBASSY,VAP W/DRAIN VLV	587-10A0B-015	1	1.0
1	1G007-2DN03	PART KIT-ENG	587-10A0B-015	1	0.0
1	2G371-2BF00	MOD ASSY-ENG CONT	587-10A0B-015	1	1.0
1	2G371-2BF00	MOD ASSY-ENG CONT	587-10A0B-016	1	1.0
1	99330-FW83A	LBL,WARNING DRAIN VALVE FRE	587-10A0B-016	0	1.0
1	1G007-2DN03	PART KIT-ENG	587-10A0B-016	1	0.0
1	16300-FW80A	SUBASSY,VAP W/DRAIN VLV	587-10A0B-016	1	1.0
1	1G007-2DN03	PART KIT-ENG	587-10A0B-017	1	0.0
1	99330-FW82A	LBL,WARNING DRAIN VALVE MSP	587-10A0B-017	0	1.0
1	16300-FW80A	SUBASSY,VAP W/DRAIN VLV	587-10A0B-017	1	1.0
1	2G371-2BF00	MOD ASSY-ENG CONT	587-10A0B-017	1	1.0
1	99330-FW84A	LBL,WARNING DRAIN VALVE POR	587-10A0B-018	0	1.0
1	16300-FW80A	SUBASSY,VAP W/DRAIN VLV	587-10A0B-018	1	1.0
1	1G007-2DN03	PART KIT-ENG	587-10A0B-018	1	0.0
1	2G371-2BF00	MOD ASSY-ENG CONT	587-10A0B-018	1	1.0
1	01222-08020	SCR,HHM M8X1.25X20 W/SPRW	587-17A50-010	0	1.0
1	17525-FW00A	HOSE-FUEL *	587-17A50-010	4	1.0
1	17510-FV40A	MANUAL VALVE ASSY	587-17A50-010	1	1.0
1	17503-FC001	TUBE ASSY-FUEL FEED	587-17A50-010	1	1.0
1	17326-6G000	CLP,HOSE	587-17A50-010	1	4.0
1	17924-FV83A	BRKT,BULK HEAD	587-17B50-010	3	1.0
1	17504-FV82A	TUBE ASSY-LPG	587-17B50-010	2	1.0
1	08120-61228	SCR,HHM M6-1	587-17B50-010	0	2.0
1	17904-FV82B	BULK HEAD,FULL ASSY	587-17B50-010	0	1.0
1	01222-08020	SCR,HHM M8X1.25X20 W/SPRW	587-17B50-010	0	2.0
1	17504-FC003	TUBE ASSY-LPG	587-17B50-010	0	1.0
1	17504-FV82A	TUBE ASSY-LPG	587-17B50-880	2	1.0
1	17904-FV82B	BULK HEAD,FULL ASSY	587-17B50-880	0	1.0
1	01222-08020	SCR,HHM M8X1.25X20 W/SPRW	587-17B50-880	0	2.0
1	17924-FV85A	BRKT,BULK HEAD	587-17B50-880	2	1.0
1	08120-61228	SCR,HHM M6-1	587-17B50-880	0	2.0
1	17504-FC003	TUBE ASSY-LPG	587-17B50-880	0	1.0
1	08911-10637	NUT,HEX M6X1.0 W/CON SPRW	587-22A61-010	1	2.0
1	25230-GG00A	RELAY,1M	587-24A30-010	0	1.0
1	24210-89944	CLIP	587-24A30-010	1	3.0
1	08540-51210	SCR,TRH TPG 5X11.8X12TYP1	587-24A30-010	0	2.0
1	25235-N853A	BRKT,A-RELAY	587-24A30-010	12	1.0
1	14896-4YL0B	BAND-HOSE	587-24A30-010	0	1.0
1	24210-89932	CLIP,	587-24A30-010	2	1.0
1	24210-89932	CLIP,	587-24A30-020	2	1.0
1	24210-89944	CLIP	587-24A30-020	1	3.0
1	25235-N853A	BRKT,A-RELAY	587-24A30-020	12	1.0
1	08540-51210	SCR,TRH TPG 5X11.8X12TYP1	587-24A30-020	0	2.0
1	25238-FV00B	COVER ASSY-RELAY	587-24A30-020	2	1.0
1	25230-GG00A	RELAY,1M	587-24A30-020	0	1.0
1	14896-4YL0B	BAND-HOSE	587-24A30-020	0	2.0
1	08360-61225	SCR,HHM M6X1.0X12 LK&PW	587-24A30-020	1	3.0
1	25239-FV00B	COVER-RELAY	587-24A30-020	1	1.0
1	14896-4YL0B	BAND-HOSE	587-24A30-030	0	1.0
1	25230-GG00A	RELAY,1M	587-24A30-030	0	1.0
1	24210-89944	CLIP	587-24A30-030	1	3.0
1	25235-N853A	BRKT,A-RELAY	587-24A30-030	12	1.0
1	08540-51210	SCR,TRH TPG 5X11.8X12TYP1	587-24A30-030	0	1.0
1	25230-GG00A	RELAY,1M	587-24A30-040	0	1.0
1	25235-N853A	BRKT,A-RELAY	587-24A30-040	12	1.0
1	08540-51210	SCR,TRH TPG 5X11.8X12TYP1	587-24A30-040	0	1.0
1	25239-FV00B	COVER-RELAY	587-24A30-040	1	1.0
1	25238-FV00B	COVER ASSY-RELAY	587-24A30-040	2	1.0
1	08360-61225	SCR,HHM M6X1.0X12 LK&PW	587-24A30-040	1	3.0
1	14896-4YL0B	BAND-HOSE	587-24A30-040	0	2.0
1	24210-89944	CLIP	587-24A30-040	1	3.0
1	08360-61225	SCR,HHM M6X1.0X12 LK&PW	587-24A41-010	1	3.0
1	24210-89944	CLIP	587-24A41-010	1	1.0
1	24216-S5802	CLIP	587-24A41-010	4	1.0
1	24014-FW43E	HARN-BODY	587-24A41-010	3	1.0
1	24238-FC000	BRKT-HARN CLIP	587-24A41-010	3	1.0
1	08911-1081G	NUT,HEX M8X1.25 CON W/SPW	587-24A41-010	1	1.0
1	08124-0161F	SCR,HHM M10-1.25X16W/LK&P	587-24A41-010	0	1.0
1	25230-GE00A	RELAY-1M	587-24A41-010	1	1.0
1	24034-FV20B	HARN,FR SEAT	587-24A41-010	0	1.0
1	24014-GH42E	HARN-BODY*	587-24A41-010	1	1.0
1	24238-FK205	BRKT-HARN CLIP	587-24A41-010	2	1.0
1	24210-S090A	CLIP,HEX CHROMIUM FREE	587-24A41-010	4	3.0
1	14896-4YL0B	BAND-HOSE	587-24A41-010	0	8.0
1	08120-8121F	SCR,HHM M8-1.25X12W/LK&PW	587-24A41-010	1	1.0
1	24225-79960	CLIP	587-24A41-010	4	1.0
1	24210-S090A	CLIP,HEX CHROMIUM FREE	587-24A41-020	4	3.0
1	24210-89944	CLIP	587-24A41-020	1	1.0
1	24216-S5802	CLIP	587-24A41-020	4	1.0
1	25230-GE00A	RELAY-1M	587-24A41-020	1	1.0
1	08360-61225	SCR,HHM M6X1.0X12 LK&PW	587-24A41-020	1	1.0
1	08124-0161F	SCR,HHM M10-1.25X16W/LK&P	587-24A41-020	0	1.0
1	24014-FW03E	HARN-BODY	587-24A41-020	3	1.0
1	24034-FV20B	HARN,FR SEAT	587-24A41-020	0	1.0
1	24238-FK205	BRKT-HARN CLIP	587-24A41-020	2	1.0
1	24014-GH02E	HARN-BODY*	587-24A41-020	1	1.0
1	08120-8121F	SCR,HHM M8-1.25X12W/LK&PW	587-24A41-020	1	1.0
1	24225-79960	CLIP	587-24A41-020	4	1.0
1	14896-4YL0B	BAND-HOSE	587-24A41-020	0	8.0
1	08911-1081G	NUT,HEX M8X1.25 CON W/SPW	587-24A41-020	1	1.0
1	08911-1081G	NUT,HEX M8X1.25 CON W/SPW	587-24A41-030	1	1.0
1	24216-S5802	CLIP	587-24A41-030	4	1.0
1	24238-FC000	BRKT-HARN CLIP	587-24A41-030	3	1.0
1	24210-S090A	CLIP,HEX CHROMIUM FREE	587-24A41-030	4	3.0
1	24014-GH42B-T	HARN,BODY-TAPED *	587-24A41-030	4	1.0
1	08124-0161F	SCR,HHM M10-1.25X16W/LK&P	587-24A41-030	0	1.0
1	24014-FW43F-T	HARN,BODY-TAPED	587-24A41-030	3	1.0
1	24225-79960	CLIP	587-24A41-030	4	1.0
1	14896-4YL0B	BAND-HOSE	587-24A41-030	0	8.0
1	08360-61225	SCR,HHM M6X1.0X12 LK&PW	587-24A41-030	1	3.0
1	24210-89944	CLIP	587-24A41-030	1	1.0
1	25230-GE00A	RELAY-1M	587-24A41-030	1	1.0
1	24034-FV20B	HARN,FR SEAT	587-24A41-030	0	1.0
1	08120-8121F	SCR,HHM M8-1.25X12W/LK&PW	587-24A41-030	1	1.0
1	24238-FK205	BRKT-HARN CLIP	587-24A41-030	2	1.0
1	08360-61225	SCR,HHM M6X1.0X12 LK&PW	587-24A41-040	1	1.0
1	24216-S5802	CLIP	587-24A41-040	4	1.0
1	14896-4YL0B	BAND-HOSE	587-24A41-040	0	8.0
1	24238-FK205	BRKT-HARN CLIP	587-24A41-040	2	1.0
1	24210-89944	CLIP	587-24A41-040	1	1.0
